Szpin Renáta, 165cm, liberó, magyar, Rabita Baku, Azerbajdzsán
Anna Werblińska, 178cm, feladó, lengyel, Fatum Nyíregyháza, Magyarország
Tanja Matic, 178cm, fogató, szerb, Fenerbahçe Acibadem, Törökország
Tálas Zsuzsanna, 178cm, feladó, magyar, Partizan, Szerbia
Sabina Altynbekova, 182cm, fogató, azer, Asystel Novara, Lengyelország
Gözde Kirdar Sonsirma, 183cm, fogató, török, Telekom Baku, Azerbajdzsán
Yelizaveta Mammadova, 184cm, fogató, azer, Telekom Baku, Azerbajdzsán
Tandara Caixeta, 184cm, fogató, brazil, Linemár Békéscsaba, Magyarország
Debby Stam-Pilon, 184cm, sánc, holland, Fenerbahçe Acibadem, Törökország
Francesca Piccinini, 184cm, ütő, olasz, Partizan, Szerbia
Charlotte Leys, 184cm, fogató, belga, Besiktas, Törökország
Bodnár Dorottya, 185cm, ütő, magyar, Imoco Volley, Olaszország
Ivana Đerisilo, 185cm, ütő, szerb, Crvena Zvezda, Szerbia
Eleonora Dziękiewicz, 185cm, sánc, lengyel, Linemár Békéscsaba, Magyarország
Agnieszka Bednarek-Kasza, 185cm, sánc, lengyel, AGIL Volley, Olaszország
Naz Aydemir, 186cm, fogató, török, Imoco Volley, Olaszország
Jaqueline Carvalho, 186cm, ütő, brazil, Crvena Zvezda, Szerbia
Logan Tom, 186cm, ütő, amerikai, Rabita Baku, Azerbajdzsán
Nikola Radosová, 186cm, ütő, szlovák, FATUM Nyíregyháza, Magyarország
Neslihan Demir, 187cm, fogató, török, Rabita Baku, Azerbajdzsán
Marianne Steinbrecher, 188cm, ütő, brazil, Fenerbahçe Acibadem, Törökország
Martina Guiggi, 188cm, sánc, olasz, Linemár Békéscsaba, Magyarország
Katarzyna Skowrońska-Dolata, 189cm, ütő, lengyel, Imoco Volley, Olaszország
Malgorzata Glinka-Mogentale, 191cm, ütő, lengyel, AGIL Volley, Olaszország
Lise Van Hecke, 191cm, fogató, belga, Besiktas, Törökország
Anja Spasojevic, 191cm, fogató, szerb, Besiktas, Törökország
Gabrielle Reece, 191cm, ütő, amerikai, Crvena Zvezda, Szerbia
Lioubov Sokolova Kiliç, 192cm, ütő, orosz, Asystel Novara, Lengyelország
Robin de Kruijf, 193cm, ütő, holland, Asystel Novara, Lengyelország
Milena Rašic, 193cm, sánc, szerb, Partizan, Szerbia
Cristina Chirichella, 195cm, ütő, olasz, AGIL Volley, Olaszország
Thaísa Menezes, 196cm, ütő, brazil, Fatum Nyíregyháza, Magyarország
Jovana Brakocevic, 196cm, ütő, szerb, Fatum Nyíregyháza, Magyarország
Yekaterina Gamova, 202cm, ütő, orosz, Telekom Baku, Azerbajdzsán
