Katarzyna Skowrońska-Dolata, 189cm, ütő, lengyel, Imoco Volley, Olaszország
Francesca Piccinini, 184cm, ütő, olasz, Partizan, Szerbia
Jaqueline Carvalho, 186cm, ütő, brazil, Crvena Zvezda, Szerbia
Robin de Kruijf, 193cm, ütő, holland, Asystel Novara, Lengyelország
Bodnár Dorottya, 185cm, ütő, magyar, Imoco Volley, Olaszország
Malgorzata Glinka-Mogentale, 191cm, ütő, lengyel, AGIL Volley, Olaszország
Jovana Brakocevic, 196cm, ütő, szerb, Fatum Nyíregyháza, Magyarország
Ivana Đerisilo, 185cm, ütő, szerb, Crvena Zvezda, Szerbia
Yekaterina Gamova, 202cm, ütő, orosz, Telekom Baku, Azerbajdzsán
Logan Tom, 186cm, ütő, amerikai, Rabita Baku, Azerbajdzsán
Marianne Steinbrecher, 188cm, ütő, brazil, Fenerbahçe Acibadem, Törökország
Lioubov Sokolova Kiliç, 192cm, ütő, orosz, Asystel Novara, Lengyelország
Gabrielle Reece, 191cm, ütő, amerikai, Crvena Zvezda, Szerbia
Thaísa Menezes, 196cm, ütő, brazil, Fatum Nyíregyháza, Magyarország
Cristina Chirichella, 195cm, ütő, olasz, AGIL Volley, Olaszország
Nikola Radosová, 186cm, ütő, szlovák, FATUM Nyíregyháza, Magyarország
